name,domain,industry,employee_count,location,founded_year,linkedin_url,source
National Resident Matching Program® (NRMP®),nationalresidentmatchingprogramnrmp.com,Hospital & Health Care,63,"Washington, District of Columbia",,,manual_import
PatientIQ,patientiq.com,,93,"Chicago, Illinois",,,manual_import
TechnoAnt (US),technoantus.com,Retail,64,"Duluth, Georgia",,,manual_import
CareAbout Health,careabouthealth.com,,91,"New York, New York",,,manual_import
FriskaAi,friskaai.com,,57,"Arlington, Virginia",,,manual_import
24/7 Medical Billing Services,247medicalbillingservices.com,Hospital & Health Care,69,"Lewes, Delaware",,,manual_import
Alternative Apparel,alternativeapparel.com,Retail,65,"Norcross, Georgia",,,manual_import
Superpedestrian,superpedestrian.com,Consumer Services,93,"Cambridge, Massachusetts",,,manual_import
Sissy's Log Cabin,sissyslogcabin.com,Retail,84,"Pine Bluff, Arkansas",,,manual_import
Associated Bodywork & Massage Professionals (ABMP),associatedbodyworkmassageprofessionalsabmp.com,Health,90,"Golden, Colorado",,,manual_import
RCCS,rccs.com,Hospital & Health Care,96,"Cedar Park, Texas",,,manual_import
CareMessage,caremessage.com,,79,"San Francisco, California",,,manual_import
DIBS Beauty,dibsbeauty.com,Health,57,"Austin, Texas",,,manual_import
AX Beauty Brands,axbeautybrands.com,Health,58,"New York, New York",,,manual_import
Executive Career Partners,executivecareerpartners.com,Consumer Services,76,"Denver, Colorado",,,manual_import
Seated,seated.com,Consumer Services,78,"New York, New York",,,manual_import
Ezra,ezra.com,Hospital & Health Care,62,"New York, New York",,,manual_import
Certification Commission for Healthcare Interpreters (CCHI),certificationcommissionforhealthcareinterpreterscchi.com,Hospital & Health Care,54,"Washington, District of Columbia",,,manual_import
Digbi Health,digbihealth.com,,85,"Mountain View, California",,,manual_import
Vori Health,vorihealth.com,Hospital & Health Care,79,"Nashville, Tennessee",,,manual_import
Outerknown,outerknown.com,Retail,93,"Culver City, California",,,manual_import
Home Care Association of America,homecareassociationofamerica.com,Hospital & Health Care,75,"Washington, District of Columbia",,,manual_import
Viome,viome.com,Health,86,"Bellevue, Washington",,,manual_import
First Health Advisory,firsthealthadvisory.com,,92,"Washington, District of Columbia",,,manual_import
"Medical Marijuana, Inc.",medicalmarijuana.com,Health,91,"Poway, California",,,manual_import
CALPAK,calpak.com,Retail,54,"Los Angeles, California",,,manual_import
United Woundcare Institute,unitedwoundcareinstitute.com,Hospital & Health Care,89,"Naperville, Illinois",,,manual_import
NNormal,nnormal.com,Retail,71,"Normal, Illinois",,,manual_import
Owlet Baby Care,owletbabycare.com,Health,80,"Lehi, Utah",,,manual_import
Integrated Healthcare Association,integratedhealthcareassociation.com,,67,"Oakland, California",,,manual_import
